Transaction Date,Post Date,Description,Category,Type,Amount
03/29/2019,03/31/2019,NETWORK FOR GOOD,Gifts & Donations,Sale,-61.80
03/28/2019,03/29/2019,WM SUPERCENTER #1216,Groceries,Sale,-115.64
03/27/2019,03/27/2019,AMZN Mktp US*MW8ZG61F2,Shopping,Sale,-36.66
03/27/2019,03/27/2019,Amazon.com*MW8UX4H61,Shopping,Sale,-29.08
03/26/2019,03/27/2019,PAYPAL *DBVERTRIEBG,Travel,Sale,-160.41
03/26/2019,03/27/2019,PAYPAL *EUROSTAR,Travel,Sale,-378.00
03/24/2019,03/27/2019,EXXONMOBIL    47908124,Gas,Sale,-21.52
03/27/2019,03/27/2019,Kindle Unltd*MW41Y2122,Shopping,Sale,-10.81
03/25/2019,03/27/2019,WM SUPERCENTER #1216,Groceries,Sale,-27.91
03/26/2019,03/26/2019,FOREIGN TRANSACTION FEE,,Fee,-5.56
03/25/2019,03/26/2019,WARNER BROS. STUDIOS LEAV,Entertainment,Sale,-185.47
03/24/2019,03/26/2019,TOM THUMB #1781,Groceries,Sale,-38.86
03/25/2019,03/26/2019,SQ *ECCLESIA BAKERY,Food & Drink,Sale,-18.31
03/23/2019,03/25/2019,NEW YORK PIZZA PASTA,Food & Drink,Sale,-39.51
03/22/2019,03/24/2019,KROGER 0448,Groceries,Sale,-83.87
03/22/2019,03/22/2019,AMZN Mktp US*MW45331I0,Shopping,Sale,-39.87
03/21/2019,03/22/2019,AMZN Mktp US*MW2565ND2,Shopping,Sale,-10.99
03/21/2019,03/22/2019,AMZN Mktp US*MW1586N82,Shopping,Sale,-10.99
03/20/2019,03/21/2019,Amazon.com*MW3I87AT0,Shopping,Sale,-19.67
03/20/2019,03/21/2019,LOWES #00550*,Home,Return,90.17
03/20/2019,03/21/2019,LOWES #00550*,Home,Sale,-34.15
03/20/2019,03/21/2019,AMZN Mktp US*MW00790D1,Shopping,Sale,-21.73
03/20/2019,03/21/2019,Amazon.com*MW5OM01Z1,Shopping,Sale,-9.75
03/19/2019,03/20/2019,WAL-MART #1216,Groceries,Sale,-37.39
03/18/2019,03/20/2019,AMERICAN AIR0010644315433,Travel,Sale,-152.00
03/18/2019,03/20/2019,AMERICAN AIR0010644315223,Travel,Sale,-152.00
03/18/2019,03/20/2019,PAPARAZZI PIZZA,Food & Drink,Sale,-24.94
03/18/2019,03/20/2019,AMERICAN AIR0010644315036,Travel,Sale,-246.75
03/18/2019,03/19/2019,LOWES #00550*,Home,Sale,-12.04
03/17/2019,03/19/2019,EXXONMOBIL    48170112,Gas,Sale,-29.31
03/18/2019,03/19/2019,WM SUPERCENTER #1216,Groceries,Sale,-18.68
03/17/2019,03/19/2019,EXXONMOBIL    48170112,Gas,Sale,-10.04
03/17/2019,03/18/2019,WAL-MART #2649,Groceries,Sale,-70.04
03/17/2019,03/18/2019,WAL-MART #2649,Groceries,Sale,-160.21
03/16/2019,03/18/2019,LONGHORN GROCERY STORE,Gas,Sale,-6.98
03/15/2019,03/18/2019,LONGHORN GROCERY STORE,Gas,Sale,-4.99
03/14/2019,03/17/2019,EXXONMOBIL    47908124,Gas,Sale,-16.77
03/15/2019,03/17/2019,SQ *LONGHORN CAVERN OUTFI,Entertainment,Sale,-150.88
03/15/2019,03/17/2019,A NO 1 AIR INC,Home,Sale,-12.00
03/15/2019,03/15/2019,PURCHASE INTEREST CHARGE,,Fee,-36.16
03/14/2019,03/15/2019,AMZN Mktp US*MW5M13LM0,Shopping,Sale,-8.30
03/14/2019,03/15/2019,Amazon.com*MW1CG0ZK0,Shopping,Sale,-14.54
03/14/2019,03/14/2019,Payment Thank You - Web,,Payment,1000.00
03/14/2019,03/14/2019,PAYPAL *EDXINC,Gifts & Donations,Sale,-441.90
03/12/2019,03/13/2019,MCDONALD'S F13838,Food & Drink,Sale,-5.00
03/12/2019,03/13/2019,MCDONALD'S F13838,Food & Drink,Sale,-5.00
03/12/2019,03/13/2019,PRET A MANGER 0091,Food & Drink,Sale,-18.65
03/11/2019,03/13/2019,NUTELLA CAFE  CHI 001,Food & Drink,Sale,-28.52
03/12/2019,03/12/2019,Payment Thank You - Web,,Payment,3727.92
03/11/2019,03/12/2019,MUSEUM OF SCIENCE &amp; IND,Food & Drink,Sale,-12.34
03/10/2019,03/11/2019,TST* FAIRGROUNDS - CAA,Food & Drink,Sale,-23.31
03/10/2019,03/11/2019,TARGET        00027995,Shopping,Sale,-42.21
03/08/2019,03/10/2019,CARROLLTON FARMERS BRANCH,Education,Sale,-22.49
03/07/2019,03/10/2019,LA MADELEINE #114,Food & Drink,Sale,-18.40
03/08/2019,03/10/2019,SQ *ECCLESIA BAKERY,Food & Drink,Sale,-22.27
03/08/2019,03/10/2019,HYATT REGENCY DALLAS F&amp;B,Food & Drink,Sale,-5.68
03/08/2019,03/10/2019,USPS PO 4843610061,Shopping,Sale,-36.70
03/07/2019,03/10/2019,LA MADELEINE #114,Food & Drink,Sale,-2.09
03/07/2019,03/08/2019,WM SUPERCENTER #1216,Groceries,Sale,-110.08
03/06/2019,03/08/2019,PAPARAZZI PIZZA,Food & Drink,Sale,-15.12
03/07/2019,03/08/2019,WAL-MART #2649,Groceries,Sale,-63.00
03/06/2019,03/07/2019,KROGER 0448,Groceries,Sale,-69.38
03/06/2019,03/06/2019,PAYPAL *LEISUREPASS,Entertainment,Sale,-148.64
03/05/2019,03/06/2019,CHEVRON 0210271,Gas,Sale,-21.26
03/04/2019,03/05/2019,SQ *SHAKE SHACK,Food & Drink,Sale,-14.47
03/04/2019,03/05/2019,WHOLEFDS LCL #10627,Groceries,Sale,-15.04
03/03/2019,03/04/2019,AMZN Mktp US*MI9W01H72,Shopping,Sale,-28.84
03/03/2019,03/04/2019,WAL-MART #2649,Groceries,Sale,-49.15
03/02/2019,03/04/2019,HARD 8 BBQ COPPELL,Food & Drink,Sale,-54.34
03/03/2019,03/04/2019,AMZN Mktp US*MI0SO7911,Shopping,Sale,-86.47
03/03/2019,03/04/2019,KROGER 0448,Groceries,Sale,-31.87
03/02/2019,03/03/2019,AMZN Mktp US*MI0DN65L2,Shopping,Sale,-62.25
03/01/2019,03/03/2019,GOOGLE *VOICE,Bills & Utilities,Sale,-10.00
03/01/2019,03/03/2019,AMZN Mktp US*MI69J5SV0,Shopping,Sale,-18.88
02/28/2019,03/01/2019,WM SUPERCENTER #1216,Groceries,Sale,-16.10
02/28/2019,03/01/2019,SQ *ECCLESIA BAKERY,Food & Drink,Sale,-23.94
02/28/2019,03/01/2019,AMZN Mktp US*MI52496F0,Shopping,Sale,-11.96
02/28/2019,03/01/2019,WAL-MART #2649,Groceries,Sale,-116.48
02/28/2019,03/01/2019,AMZN Mktp US*MI5O68VJ2,Shopping,Sale,-7.97
02/27/2019,02/27/2019,Kindle Unltd*MI7WG3D71,Shopping,Sale,-10.81
02/26/2019,02/27/2019,LOWES #00550*,Home,Sale,-48.43
02/27/2019,02/27/2019,AMZN Mktp US*MI2XO3GI2,Shopping,Sale,-34.28
02/26/2019,02/27/2019,SQ *ECCLESIA BAKERY,Food & Drink,Sale,-11.38
02/24/2019,02/26/2019,PAYLESS SHOESO00032557,Shopping,Sale,-77.69
02/25/2019,02/26/2019,CHEVRON 0210271,Gas,Sale,-20.79
02/25/2019,02/26/2019,KROGER 0448,Groceries,Sale,-86.15
02/25/2019,02/26/2019,APL*ITUNES.COM/BILL,Shopping,Sale,-21.63
02/23/2019,02/25/2019,SKINNY PIZZA,Food & Drink,Sale,-20.70
02/24/2019,02/25/2019,PANERA BREAD #601385,Food & Drink,Sale,-25.27
02/24/2019,02/25/2019,KROGER 0577,Groceries,Sale,-157.18
02/22/2019,02/25/2019,RAISING CANE'S #71,Food & Drink,Sale,-16.67
02/22/2019,02/24/2019,DRI*PRINTING SERVICES,Shopping,Sale,-54.15
02/22/2019,02/24/2019,NEW YORK PIZZA PASTA,Food & Drink,Sale,-52.49
02/22/2019,02/24/2019,WAL-MART #2649,Groceries,Sale,-38.90
02/20/2019,02/21/2019,WM SUPERCENTER #1216,Groceries,Sale,-29.45
02/20/2019,02/21/2019,LOWES #00550*,Home,Sale,-32.11
02/19/2019,02/20/2019,LOWES #00550*,Home,Sale,-3.44
02/19/2019,02/20/2019,MEINEKE CARCARE 4239,Automotive,Sale,-78.48
02/19/2019,02/20/2019,SQ *ECCLESIA BAKERY,Food & Drink,Sale,-4.43
02/20/2019,02/20/2019,AMZN Mktp US*MI5RF8JK2,Shopping,Sale,-13.77
02/20/2019,02/20/2019,AMZN Mktp US*MI0KN33S2,Shopping,Sale,-41.34
02/19/2019,02/20/2019,CHEVRON 0210271,Gas,Sale,-20.60
02/18/2019,02/19/2019,WAL-MART #2649,Groceries,Sale,-126.03
02/18/2019,02/19/2019,HALL ARTS TOWER LLC,Travel,Sale,-15.00
02/19/2019,02/19/2019,AMZN Mktp US*MI3OO8GC1,Shopping,Sale,-14.35
02/16/2019,02/19/2019,CHICK-FIL-A  # 00951,Food & Drink,Return,8.88
02/16/2019,02/18/2019,H MART CARROLTON,Groceries,Sale,-112.11
02/17/2019,02/18/2019,CHILDRENS CHORUS OF GREAT,Gifts & Donations,Sale,-57.60
02/16/2019,02/18/2019,CHICK-FIL-A  # 00951,Food & Drink,Sale,-9.72
02/17/2019,02/18/2019,MEYERSON SYMPY CL3202,Food & Drink,Sale,-9.00
02/17/2019,02/18/2019,Amazon.com*MI2LB8Z22,Shopping,Sale,-13.63
02/16/2019,02/18/2019,CARROLLTON FARMERS BRANCH,Education,Sale,-22.49
02/16/2019,02/17/2019,NTTA AUTOCHARGE,Travel,Sale,-40.00
02/15/2019,02/17/2019,A NO 1 AIR INC,Home,Sale,-12.00
02/14/2019,02/17/2019,BUC-EE'S #26,Groceries,Sale,-7.59
02/15/2019,02/17/2019,KROGER 0448,Groceries,Sale,-107.32
02/14/2019,02/15/2019,Prime Video*MI49F6041,Shopping,Sale,-4.32
02/13/2019,02/15/2019,LOVE S COUNTRY00002881,Gas,Sale,-11.74
02/13/2019,02/15/2019,LOVE S COUNTRY00002881,Gas,Sale,-9.06
02/13/2019,02/15/2019,INDIA BAZAAR VALLEY RANCH,Groceries,Sale,-46.45
02/13/2019,02/14/2019,DALLAS VEHREG,Bills & Utilities,Sale,-83.25
02/14/2019,02/14/2019,AMZN Mktp US*MI9K92JS0,Shopping,Sale,-18.99
02/13/2019,02/14/2019,TX.GOV SERVICEFEE-,Bills & Utilities,Sale,-2.00
02/11/2019,02/14/2019,EXXONMOBIL    47908124,Gas,Sale,-18.93
02/13/2019,02/14/2019,AMZN Mktp US*MI0DD1TU0,Shopping,Sale,-13.99
02/13/2019,02/14/2019,CHEVRON 0210271,Gas,Sale,-7.21
02/13/2019,02/14/2019,AMZN Mktp US*MI7C86TS0,Shopping,Sale,-88.15
02/12/2019,02/13/2019,SQ *ECCLESIA BAKERY,Food & Drink,Sale,-4.43
02/12/2019,02/13/2019,MEINEKE CARCARE 4239,Automotive,Sale,-25.50
02/12/2019,02/13/2019,KROGER 0448,Groceries,Sale,-27.72
02/12/2019,02/12/2019,Payment Thank You - Web,,Payment,3029.61
02/11/2019,02/12/2019,WAL-MART #1216,Groceries,Sale,-64.37
02/11/2019,02/11/2019,Payment Thank You Bill Pa,,Payment,6000.00
02/09/2019,02/11/2019,SPA CASTLE TEXAS,Health & Wellness,Sale,-17.84
02/09/2019,02/11/2019,SPA CASTLE TEXAS,Health & Wellness,Sale,-1.08
02/10/2019,02/11/2019,H MART CARROLTON,Groceries,Sale,-105.16
02/10/2019,02/11/2019,WAL-MART #2649,Groceries,Sale,-61.03
02/08/2019,02/10/2019,WAL-MART #3406,Groceries,Sale,-28.48
02/08/2019,02/10/2019,SUNPASS*ACC84212451,Travel,Sale,-4.00
02/07/2019,02/08/2019,APL*ITUNES.COM/BILL,Shopping,Sale,-5.40
02/07/2019,02/08/2019,WAL-MART #1216,Groceries,Sale,-51.81
02/05/2019,02/07/2019,PEDIATRIC CENTER OF LAS C,Health & Wellness,Sale,-50.00
02/04/2019,02/07/2019,EXXONMOBIL    47908124,Gas,Sale,-19.22
02/05/2019,02/06/2019,WM SUPERCENTER #1216,Groceries,Sale,-68.97
02/04/2019,02/06/2019,STARBUCKS SOUTH DFW,Food & Drink,Sale,-2.50
02/04/2019,02/06/2019,STARBUCKS SOUTH DFW,Food & Drink,Sale,-20.24
02/02/2019,02/04/2019,TOM THUMB #2570,Groceries,Sale,-57.77
02/03/2019,02/04/2019,KOHL'S #1233,Shopping,Sale,-56.28
02/03/2019,02/04/2019,WENDY'S #2251,Food & Drink,Sale,-12.84
02/03/2019,02/04/2019,KOHL'S #1233,Shopping,Sale,-7.99
02/01/2019,02/03/2019,WAL-MART #2649,Groceries,Sale,-26.65
01/31/2019,02/03/2019,HARD 8 BBQ COPPELL,Food & Drink,Sale,-50.10
02/02/2019,02/03/2019,Prime Video*MB3K97IA0,Shopping,Sale,-4.32
02/01/2019,02/03/2019,TUSCAN CLEANERS,Personal,Sale,-16.70
02/01/2019,02/03/2019,AMZN Mktp US*MB4IN4IZ1,Shopping,Sale,-32.72
01/31/2019,02/01/2019,SQ *ECCLESIA BAKERY,Food & Drink,Sale,-5.24
01/31/2019,02/01/2019,LOWES #00550*,Home,Sale,-5.93
01/31/2019,02/01/2019,KROGER 0448,Groceries,Sale,-26.68
01/31/2019,02/01/2019,WAL-MART #1216,Groceries,Sale,-13.98
01/31/2019,02/01/2019,LOWES #00550*,Home,Sale,-95.52
01/30/2019,01/31/2019,WAL-MART #1216,Groceries,Sale,-113.22
01/29/2019,01/30/2019,TRAVEL INSURANCE POLICY,Bills & Utilities,Sale,-68.00
01/29/2019,01/30/2019,TICKETLEAPTICKETS COM,Entertainment,Sale,-127.60
01/28/2019,01/30/2019,DAISO TX02 IRVING,Shopping,Sale,-30.85
01/28/2019,01/30/2019,AMTRAK .COM 0280612079606,Travel,Sale,-1582.00
01/29/2019,01/30/2019,CHEVRON 0210271,Gas,Sale,-17.85
01/29/2019,01/30/2019,CHEVRON 0210271,Gas,Sale,-9.00
01/28/2019,01/29/2019,PANDA EXPRESS #1593,Food & Drink,Sale,-12.56
01/28/2019,01/29/2019,GAMESTOP #4937,Entertainment,Sale,-16.23
